"Africa","Antarctica","Asia","Europe","North America","Oceania","Seven seas (open ocean)","South America"
3,0,0,0,302,0,0,0
2,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
20,0,0,0,167,0,0,0
69,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
68,0,27,0,0,0,0,0
153,0,0,0,829,0,0,0
25,0,0,0,1561,0,0,0
10,0,0,0,0,0,0,0
14,0,0,0,344,0,0,0
3,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,13,1844,1,0,358
58,0,34,0,1,0,0,0
25,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,42,0,0,0,0
5,0,0,0,91,0,0,0
6,0,0,0,0,0,0,0
3,0,1,57,0,0,0,0
3,0,0,0,110,0,0,0
38,0,0,0,0,0,0,0
1,0,20,55,0,0,0,0
105,0,0,0,762,0,0,0
1,0,0,0,9,0,0,0
54,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,5,0,0,0,0
391,0,0,0,0,0,0,0
1,0,21,2,0,0,0,0
18,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
203,0,0,0,1138,0,0,0
10,0,0,0,578,0,0,0
1,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
38,0,0,0,860,0,0,0
37,0,0,0,0,0,0,0
1,0,0,40,0,0,0,0
11,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
3,0,0,0,1152,0,0,0
20,0,0,0,0,0,0,0
50,0,0,0,680,0,0,0
7,0,10,925,145,0,0,1
881,0,0,0,4577,0,0,0
2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
1,0,0,45,0,0,0,0
7,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
71,0,3,10,4374,0,0,1592
3,0,0,0,0,0,0,0
16,0,58,0,0,0,0,0
17,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
2,0,0,0,337,0,0,0
6,0,0,3,0,0,0,0
1,0,0,0,643,0,0,0
1,0,0,0,0,0,0,0
14,0,5,3,0,0,0,0
32,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
6,0,0,0,862,0,0,0
114,0,0,0,0,0,0,0
2,0,20,0,0,0,0,0
1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
35,0,4,0,0,0,0,0
4,0,0,0,0,0,0,0
1,0,0,420,0,0,0,0
5,0,0,0,686,0,0,0
7,0,0,0,468,0,0,0
2,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
15,0,1,10,0,0,0,0
11,0,0,0,3175,0,0,0
31,0,4,0,0,0,0,0
8,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
105,0,0,0,2026,0,0,0
1,0,0,0,178,0,0,0
1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
1,0,0,0,179,0,0,0
1,0,0,0,932,0,0,0
3,0,0,0,0,0,0,0
2,0,0,0,60,0,0,0
8,0,0,0,0,0,0,0
6,0,0,0,1971,0,0,0
11,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
4,0,0,0,348,0,0,0
1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
9,0,0,0,104,0,0,0
1,0,0,0,77,0,0,0
29,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,6,0,0,0,0,0
4,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
3,0,0,61,0,0,0,0
6,0,46,769,0,0,0,0
9,0,0,19,0,0,0,0
6,0,0,0,0,0,0,0
4,0,3,3,0,0,0,0
14,0,0,0,1392,0,0,0
9,0,0,0,6168,0,0,0
2,0,0,0,5983,0,0,0
39,0,0,0,693,0,0,0
5,0,0,0,59,0,0,0
1,0,0,0,1330,0,0,0
5,0,0,0,125,0,0,0
6,0,0,0,79,0,0,0
3,0,0,0,767,0,0,0
1,0,0,0,0,0,0,0
7,0,9,166,0,0,0,0
1,0,0,0,102,0,0,0
1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
15,0,0,0,7,0,0,0
1,0,0,0,0,0,0,0
