"name","n","observedRichness","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iChao_est","iChao_lower","iChao_upper","iChao_increasePercent","level","iNEXT_increase","iChao_increase"
"Samoa",30,19,46,0,113.8830363363157,58.9,48,28,108,60.22,"Country",27,29
"Saudi Arabia",925,122,158,132.23192956831596,182.80657355018715,22.55,166,152,187,26.68,"Country",36,44
"Senegal",457,143,236,184.3815415791848,287.3928765628482,39.38,259,226,306,44.8,"Country",93,116
"Serbia",14102,598,923,825.9190739633523,1019.834847466232,35.2,968,889,1067,38.2,"Country",325,370
"Seychelles",156,38,45,22.348664476071377,66.65832853092164,14.61,45,40,62,14.61,"Country",7,7
"Sierra Leone",176,87,135,100.20886738753734,170.04113261246266,35.62,147,128,175,40.75,"Country",48,60
"Singapore",4931,119,143,121.03803830373194,165.02913483949072,16.8,149,137,170,20.14,"Country",24,30
"Sint Maarten",62,13,23,7.460318401605184,38.217100953233526,43.08,27,16,69,51.11,"Country",10,14
"Slovakia",10950,645,937,855.6909313059883,1017.388344702154,31.13,986,916,1074,34.59,"Country",292,341
"Slovenia",8046,598,820,750.7858004227108,890.1139543580861,27.11,864,811,929,30.75,"Country",222,266
"Solomon Islands",391,46,142,57.76195364609319,225.7469977605564,67.55,147,79,356,68.79,"Country",96,101
"Somalia",108,75,178,109.61738596903623,246.45668810503784,57.87,178,123,296,57.87,"Country",103,103
"South Africa",54616,1243,1513,1445.2775440255218,1581.4783205068002,17.87,1570,1510,1644,20.82,"Country",270,327
"Spain",39187,1186,1413,1354.697318994067,1471.6291150741438,16.07,1462,1416,1518,18.9,"Country",227,276
"Sri Lanka",5558,142,199,159.39362109039493,238.46824204276768,28.62,206,179,252,31.06,"Country",57,64
"Sudan",231,153,263,213.8018220893092,312.14190085441373,41.82,263,218,340,41.82,"Country",110,110
"Suriname",749,148,207,171.4610086745831,243.42766829153047,28.66,221,198,257,33.16,"Country",59,73
"Sweden",370536,324,337,315.8151604369312,358.45749593114095,3.9,337,328,365,3.9,"Country",13,13
"Switzerland",447339,678,709,684.3585531468999,734.4239152019264,4.43,716,700,743,5.31,"Country",31,38
"Syria",3578,486,638,589.3430798484706,686.7719005875272,23.83,675,644,713,28.03,"Country",152,189
"São Tomé and Principe",36,7,10,6.482347505039973,13.35098582829336,29.41,10,7,31,29.41,"Country",3,3
"Taiwan",5741,176,284,211.81616370812625,356.74610767316625,38.09,295,245,384,40.43,"Country",108,119
"Tajikistan",2827,578,834,764.5239219196088,903.9980152871534,30.72,888,831,959,34.92,"Country",256,310
"Tanzania",9836,418,615,553.2209836252573,677.0450507673529,32.05,641,582,723,34.83,"Country",197,223
"Thailand",11066,287,381,333.05531238195965,429.755210063306,24.75,396,360,451,27.58,"Country",94,109
"Timor-Leste",130,19,25,10.036425854180925,39.87126645351138,23.86,25,20,52,23.86,"Country",6,6
"Togo",98,75,133,90.39867705386206,175.96689526202084,43.69,133,104,193,43.69,"Country",58,58
"Trinidad and Tobago",2354,126,194,127.84334224787112,260.9985014224772,35.19,211,177,270,40.39,"Country",68,85
"Tunisia",2890,688,1043,956.4390454994284,1130.4436020732874,34.06,1118,1044,1208,38.46,"Country",355,430
"Turkey",35878,1837,2608,2476.8183314264925,2740.034768508858,29.57,2742,2626,2876,33.01,"Country",771,905
"Turkmenistan",1007,601,1147,1024.9837821214562,1268.143462757611,47.58,1270,1172,1385,52.68,"Country",546,669
"Uganda",1365,236,342,286.56525820752046,396.59421850624193,30.91,367,335,411,35.75,"Country",106,131
"Ukraine",17266,847,1113,1042.7936863427628,1183.575478489856,23.91,1169,1112,1237,27.53,"Country",266,322
"United Arab Emirates",1384,106,139,111.58060634652036,165.7055208211097,23.54,146,130,175,27.51,"Country",33,40
"United Kingdom",572429,277,298,268.79098360787964,326.4946585541053,6.94,302,288,335,8.15,"Country",21,25
"United States of America",2259852,3745,4204,4098.77527515431,4308.789290568313,10.91,4300,4214,4402,12.92,"Country",459,555
"Uruguay",1095,88,196,87.28385255375292,304.5188871722745,55.08,220,155,350,59.98,"Country",108,132
"Uzbekistan",2461,565,813,740.783909989118,884.6883627284337,30.48,862,807,930,34.47,"Country",248,297
"Vanuatu",43,18,34,0,69.94488623326276,46.47,35,23,82,49.12,"Country",16,17
"Venezuela",5146,384,537,473.7867552901344,600.5262576725321,28.51,574,532,629,33.12,"Country",153,190
"Vietnam",918,119,185,140.55522655040355,228.88038863134165,35.58,198,170,242,39.94,"Country",66,79
"Yemen",294,91,129,99.0112873925724,158.96470300358607,29.45,135,118,164,32.75,"Country",38,44
"Zambia",1093,227,333,285.29716486548904,380.10923952609375,31.77,349,315,397,35.05,"Country",106,122
"Zimbabwe",4017,476,614,561.0650063152128,667.0854092133114,22.49,641,605,687,25.73,"Country",138,165
"Global",8450322,20758,24818.034779090223,24520.64149089879,25115.428067281657,19.558891892717135,25772.633,25547.173,26008.707,24.157592253588977,"Global",4060.0347790902233,5014.633000000002
