"scientificName","n","dataFrom"
"Andrena alamonis Viereck, 1917",40,"points"
"Andrena albicaudata Hirashima, 1966",3,"points"
"Andrena albiculta Viereck, 1917",5,"points"
"Andrena albifacies Alfken, 1926",8,"points"
"Andrena albopicta Radoszkowski, 1874",1,"points"
"Andrena albopunctata (Rossi, 1792)",147,"points"
"Andrena alceae LaBerge, 1986",5,"points"
"Andrena alchata Warncke, 1974",3,"points"
"Andrena alfkenella Perkins, 1914",596,"points"
"Andrena alfkenelloides Warncke, 1965",5,"points"
"Andrena algida Smith, 1853",425,"points"
"Andrena aliciae Robertson, 1891",290,"points"
"Andrena aliciarum Cockerell, 1897",38,"points"
"Andrena alisadra Ariana, Scheuchl, Tadauchi and Gusenleitner, 2010",2,"points"
"Andrena alleghaniensis Viereck, 1907",729,"points"
"Andrena allosa Warncke, 1975",97,"points"
"Andrena alluaudi Benoist, 1961",14,"points"
"Andrena almas Tadauchi, Miyanaga and Dawut, 2005",130,"points"
"Andrena alutacea Stoeckhert, 1942",125,"points"
"Andrena amamiensis Hirashima, 1960",30,"points"
"Andrena amarilla Cockerell, 1949",2,"points"
"Andrena amicula Warncke, 1967",3,"points"
"Andrena amieti Praz, Müller and Genoud, 2019",526,"points"
"Andrena amphibola (Viereck, 1904)",577,"points"
"Andrena ampla Warncke, 1967",448,"points"
