"scientificName","dataFrom","continent","n"
"Andrena mariana Warncke, 1968","points","Africa",4
"Andrena marsae Schmiedeknecht, 1900","points","Africa",4
"Andrena medionitens Cockerell, 1902","points","Africa",15
"Andrena melanochroa Cockerell, 1898","points","Africa",52
"Andrena menahemella Scheuchl and Pisanty, 2016","points","Africa",7
"Andrena merriami Cockerell, 1901","points","Africa",18
"Andrena mesillae Cockerell, 1896","points","Africa",2
"Andrena microchlora Cockerell, 1922","points","Africa",15
"Andrena miegiella Dours, 1873","points","Africa",2
"Andrena milwaukeensis Graenicher, 1903","points","Africa",118
"Andrena minapalumboi Gribodo, 1894","points","Africa",3
"Andrena miranda Smith, 1879","points","Africa",82
"Andrena miserabilis Cresson, 1872","points","Africa",202
"Andrena morio Brullé, 1832","points","Africa",9
"Andrena nana (Kirby, 1802)","points","Africa",2
"Andrena nasonii Robertson, 1895","points","Africa",243
"Andrena nevadensis (Cresson, 1879)","points","Africa",1
"Andrena nigrihirta (Ashmead, 1890)","points","Africa",9
"Andrena nigroaenea (Kirby, 1802)","points","Africa",41
"Andrena nigrocaerulea Cockerell, 1897","points","Africa",26
"Andrena nigroolivacea Dours, 1873","points","Africa",7
"Andrena nigroviridula Dours, 1873","points","Africa",1
"Andrena nivalis Smith, 1853","points","Africa",62
"Andrena notophila Cockerell, 1933","points","Africa",54
"Andrena nubecula Smith, 1853","points","Africa",44
"Andrena numida Lepeletier, 1841","points","Africa",16
"Andrena obsoleta Pérez, 1895","points","Africa",1
"Andrena orbitalis Morawitz, 1871","points","Africa",15
"Andrena ovatula (Kirby, 1802)","points","Africa",30
"Andrena pallidifovea (Viereck, 1904)","points","Africa",14
"Andrena pandosa Warncke, 1968","points","Africa",1
"Andrena panurgina De Stefani, 1889","points","Africa",1
"Andrena peckhami Cockerell, 1902","points","Africa",2
"Andrena perarmata Cockerell, 1898","points","Africa",50
"Andrena persimulata Viereck, 1917","points","Africa",10
"Andrena petrosa Warncke, 1974","points","Africa",1
"Andrena pilipes Fabricius, 1781","points","Africa",1
"Andrena placata Mitchell, 1960","points","Africa",1
"Andrena planiventris Dours, 1872","points","Africa",3
"Andrena platyparia Robertson, 1895","points","Africa",3
"Andrena porterae Cockerell, 1900","points","Africa",1
"Andrena propinqua Schenck, 1853","points","Africa",4
"Andrena pruinosa Erichson, 1835","points","Africa",3
"Andrena pruni Robertson, 1891","points","Africa",1
"Andrena prunorum Cockerell, 1896","points","Africa",120
"Andrena purpurascens Pérez, 1895","points","Africa",14
"Andrena quintiliformis Viereck, 1917","points","Africa",4
"Andrena ranunculi Schmiedeknecht, 1883","points","Africa",23
"Andrena regularis Malloch, 1917","points","Africa",5
"Andrena rhypara Pérez, 1903","points","Africa",1
"Andrena rhyssonota Pérez, 1895","points","Africa",11
"Andrena robertsonii Dalla Torre, 1896","points","Africa",38
"Andrena robervalensis Mitchell, 1960","points","Africa",2
"Andrena rufescens Pérez, 1895","points","Africa",1
"Andrena rufiventris Lepeletier, 1841","points","Africa",4
"Andrena rufosignata Cockerell, 1902","points","Africa",56
"Andrena rugosa Robertson, 1891","points","Africa",100
"Andrena russula Lepeletier, 1841","points","Africa",2
"Andrena saccata Viereck, 1904","points","Africa",4
"Andrena salicifloris Cockerell, 1897","points","Africa",68
"Andrena salictaria Robertson, 1905","points","Africa",15
"Andrena sardoa Lepeletier, 1841","points","Africa",4
"Andrena savignyi Spinola, 1838","points","Africa",8
"Andrena scurra Viereck, 1904","points","Africa",14
"Andrena senecionis Pérez, 1895","points","Africa",4
"Andrena sigmundi Cockerell, 1902","points","Africa",26
"Andrena simplex Smith, 1853","points","Africa",3
"Andrena sinuata Pérez, 1895","points","Africa",9
"Andrena sladeni Viereck, 1924","points","Africa",4
"Andrena sola Viereck, 1917","points","Africa",3
"Andrena spiraeana Robertson, 1895","points","Africa",10
"Andrena spolata Warncke, 1968","points","Africa",10
