"name","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase","cleanRecords","elevationalRange","Code","year_GDPc","GPD_per_cap","year_TerEd","percent_ed","continent","mean_roadDist","median_roadDist","n_lit","n_occ","propOccurrences","area_m"
"Singapore","Country",4842,152.45499999999998,137.014,180.8105,119,"Country",4842,147.07599612681577,119.46340750875055,174.76757141484129,23.593274056147706,28.075996126815767,28.113445378151237,33.454999999999984,3388,94,"SGP",2022,80320.086,2020,52,"Asia",1481.23707223126,1359.07730526964,58,61,0.5126050420168067,484940113.2909591
"Iraq","Country",288,169.4635,148.69,203.062,107,"Country",288,157.49581010687822,123.13454471159133,194.7271843928706,47.192345894278716,50.495810106878224,58.37710280373833,62.46350000000001,14,3469,"IRQ",2022,13071.94,2020,20.4,"Asia",8126.98776594076,3326.89463069408,103,4,0.037383177570093455,437451504276.5065
"Guernsey","Country",553,167.2125,145.751,202.034,112,"Country",553,158.45584286621016,123.00790185595885,193.51916945703425,41.47843113054479,46.45584286621016,49.29687499999999,55.212500000000006,109,96,NA,NA,NA,NA,NA,"Europe",498.61589060497,498.61589060497,99,13,0.11607142857142858,48055368.59073279
"Saudi Arabia","Country",1023.5,167.9935,151.29899999999998,198.0875,122,"Country",1023.5,160.30633840362668,129.56110608156519,191.91718828512379,31.398638035759575,38.30633840362668,37.699590163934424,45.99350000000001,280,2958,"SAU",2022,53516.91,2020,15.2,"Asia",22422.2507610541,10407.5784227687,95,27,0.22131147540983606,1925845238439.6074
"Moldova","Country",243,197.2035,172.298,234.9025,114,"Country",243,182.82093972204265,140.62443597602146,224.4554244429393,60.369245370212845,68.82093972204265,72.98552631578947,83.20349999999999,19,396,"MDA",2022,6674.871,2020,17.6,"Europe",2258.30110586309,1780.05318409536,104,10,0.08771929824561403,33117009445.50509
"Cyprus","Country",1252,154.59,150.058,161.671,142,"Country",1252,152.07259352777493,134.59761823913678,169.54756881641308,7.093375723785167,10.072593527774927,8.8661971830986,12.590000000000003,1252,1891,"CYP",2022,31523.498,2020,38.7,NA,1944.1367127054,1623.19997872957,NA,NA,NA,5707932568.648508
"Burundi","Country",111,168.943,129.654,244.422,87,"Country",111,168.94256756756755,113.09311206248,222.23510574237298,94.18685927306616,81.94256756756755,94.1873563218391,81.94300000000001,12,1861,"BDI",2022,717.22845,2020,1.9,"Africa",1375.44072913742,541.097717226298,77,10,0.11494252873563218,27207401347.05851
"Lao","Country",542.5,175.82600000000002,153.964,208.55,118,"Country",542.5,166.11326513213982,130.2731436500555,201.80323608418485,40.77395350181341,48.113265132139816,49.00508474576273,57.82600000000002,78,2649,NA,NA,NA,NA,NA,"Asia",5440.50190299376,3975.47934330089,101,17,0.1440677966101695,228946591685.1169
"Rep. Congo","Country",693.5,187.20600000000002,161.987,226.539,119,"Country",693.5,175.50960610589905,136.23830165787479,217.67790237758345,47.487063954537014,56.50960610589905,57.31596638655463,68.20600000000002,66,890,NA,NA,NA,NA,NA,"Africa",15760.8238107416,8877.02212122407,105,14,0.11764705882352941,346876237820.1058
"Vietnam","Country",919,184.46300000000002,159.8915,223.468,118,"Country",919,172.74284551859532,133.40493948138968,211.75285722323375,46.39224196491129,54.74284551859532,56.32457627118646,66.46300000000002,274,2890,"VNM",2022,8050.359,2020,7.4,"Asia",4199.74685386635,3016.31065291098,82,36,0.3050847457627119,328939051416.09625
"Trinidad and Tobago","Country",2202,181.79500000000002,157.86399999999998,219.6845,126,"Country",2202,171.61069477703796,134.31482900668158,208.8415522612855,36.19896410876029,45.61069477703796,44.28174603174604,55.795000000000016,1460,840,"TTO",2022,25773.006,2020,12,"North America",3525.0337776379,2834.82675787889,53,73,0.5793650793650794,5102341690.808783
