"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"El Salvador","iNEXT",121,192.11135589136347,23.143206531396338,146.7515046030545,237.47120717967243,"1529",NA,7
"Botswana","iNEXT",154,203.1583269671505,17.510622951636446,168.8381366350826,237.47851729921837,"714",NA,3
"El Salvador","iNEXT",121,195.9851336816226,21.223287721616916,154.38825411372233,237.5820132495229,"1627",NA,7
"Suriname","iNEXT",148,202.27937794327016,18.014696520439287,166.97122157079014,237.5875343157502,"794",NA,21
"Trinidad and Tobago","iNEXT",126,195.1002799392674,21.678915590210703,152.61038615857055,237.59017371996427,"1916",NA,22
"Suriname","iNEXT",148,202.0102193548387,18.157621818056448,166.42193454654938,237.59850416312804,"775",NA,21
"Uruguay","iNEXT",87,174.40923236514521,32.256517689561335,111.18761942692586,237.63084530336457,"964",NA,23
"Suriname","iNEXT",148,196.22550765942287,21.132769795870654,154.80603996594053,237.64497535290522,"802",NA,21
"Moldova","iNEXT",114,191.73109421208278,23.433701233030956,145.80188377087026,237.6603046532953,"263",NA,14
"Lao","iNEXT",118,185.45304347826087,26.64247611426228,133.23474983533816,237.67133712118357,"460",NA,12
"Nicaragua","iChao",NA,218.86,NA,206.147,237.755,"4694",7.937,15
"Togo","iNEXT",75,164.27956989247312,37.49063951751193,90.79926668077563,237.7598731041706,"93",NA,22
"Lao","iNEXT",118,191.37831125827813,23.66971446533787,144.98652338186918,237.7700991346871,"604",NA,12
"Suriname","iNEXT",148,204.00215384615385,17.236335724990557,170.21955659973128,237.7847510925764,"750",NA,21
"Suriname","iChao",NA,212.683,NA,194.596,237.791,"818",10.9,21
"Guernsey","iNEXT",112,188.88634072580646,24.952031687667425,139.98125727687614,237.7914241747368,"496",NA,9
"Uruguay","iNEXT",87,174.42609797297297,32.33922707148646,111.04237762499679,237.80981832094915,"1184",NA,23
"Saudi Arabia","iChao",NA,198.317,NA,172.277,237.845,"870",16.437,19
"Suriname","iChao",NA,210.365,NA,191.279,237.866,"843",11.726,21
"Moldova","iChao",NA,201.339,NA,175.568,237.896,"242",15.706,14
"Lao","iNEXT",118,188.49086492765866,25.214522480002504,139.0713089794782,237.91042087583912,"557",NA,12
"Burundi","iNEXT",87,182.14178482068388,28.454852780646252,126.37129818522783,237.91227145613993,"109",NA,4
"Trinidad and Tobago","iChao",NA,195.109,NA,168.664,237.947,"2392",17.268,22
"Ireland","iChao",NA,128,NA,112.532,237.961,"36256",23.621,10
"Ireland","iChao",NA,128,NA,112.532,237.961,"36169",23.621,10
"SV & Grenadines","iNEXT",48,108.49038461538461,66.07331262393448,0,237.99169769755187,"234",NA,18
"Sri Lanka","iChao",NA,204.764,NA,183.034,238.002,"4651",13.771,20
