"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Romania","iNEXT",728,1029.4559280406866,41.6003725074226,947.9206961826881,1110.991159898685,"8798",NA,18
"Hungary","iNEXT",727,1028.9908399721626,41.95169945580649,946.7670199485334,1111.2146599957919,"8906",NA,10
"Turkmenistan","iNEXT",601,1013.9851001210636,49.624327225056206,916.7232060029229,1111.2469942392042,"1034",NA,22
"Bolivia","iNEXT",696,1027.8847818940544,42.55648685022189,944.4756003590671,1111.2939634290417,"16365",NA,3
"Croatia","iNEXT",733,1038.2805466073005,37.27602226476228,965.2208854814533,1111.3402077331477,"11247",NA,6
"Colombia","iNEXT",814,1041.4992684046545,35.68800484801595,971.5520642224524,1111.4464725868565,"38301",NA,5
"Colombia","iNEXT",814,1043.8940327562489,34.467245160934006,976.3394735945058,1111.448591917992,"38527",NA,5
"Croatia","iNEXT",733,1023.0582091922166,45.11880515719926,934.6269760586262,1111.4894423258072,"11546",NA,6
"Tunisia","iNEXT",686,1021.5960600901547,45.876835577963824,931.6791146326798,1111.5130055476295,"2794",NA,22
"Azerbaijan","iChao",NA,1024.893,NA,952.329,1111.713,"1442",40.527,2
"Bolivia","iNEXT",696,1020.8791850855275,46.36734697928882,930.0008549474494,1111.7575152236057,"15609",NA,3
"Slovenia","iChao",NA,1002.893,NA,916.911,1111.77,"7595",49.43,20
"Hungary","iChao",NA,1046.633,NA,992.512,1111.785,"7791",30.321,10
"Ukraine","iChao",NA,1068.007,NA,1030.878,1111.898,"15320",20.61,23
"Bolivia","iNEXT",696,1027.640937330833,43.02398131902534,943.3154834740193,1111.9663911876466,"15498",NA,3
"Romania","iNEXT",728,1029.4418951780526,42.14076192898067,946.8475195161739,1112.0362708399314,"8678",NA,18
"Ukraine","iNEXT",827,1053.091371965628,30.081367624860732,994.1329748151918,1112.0497691160642,"15529",NA,23
"Turkmenistan","iNEXT",601,1010.5783548013358,51.78980974392401,909.0721929370632,1112.0845166656084,"1005",NA,22
"Romania","iNEXT",728,1030.8575097460753,41.53097036103636,949.4583035954436,1112.256715896707,"9491",NA,18
"Turkmenistan","iChao",NA,1040.403,NA,978.453,1112.519,"1085",34.121,22
"Azerbaijan","iNEXT",583,1004.811867717384,54.966483519663555,897.0795396620291,1112.544195772739,"1470",NA,2
"Croatia","iNEXT",733,1021.4625384152604,46.495720241021054,930.3326013076093,1112.5924755229116,"10544",NA,6
"Portugal","iChao",NA,1063.68,NA,1021.603,1112.603,"16533",23.161,17
"Slovakia","iChao",NA,1014.84,NA,937.317,1112.646,"10157",44.484,20
"Tunisia","iNEXT",686,1022.4102541159627,46.1218475420029,932.0130940331898,1112.8074141987356,"2794",NA,22
"Hungary","iNEXT",727,1032.2876085586697,41.13583673395104,951.6628500862059,1112.9123670311335,"7935",NA,10
"Ukraine","iNEXT",827,1045.1431198149544,34.580290403886295,977.3669960484012,1112.9192435815075,"16278",NA,23
"Turkmenistan","iNEXT",601,1030.079684926602,42.2670978714005,947.2376953676276,1112.9216744855767,"1050",NA,22
"Bulgaria","iNEXT",749,1025.5196212475055,44.666724747778055,937.9744494344967,1113.0647930605144,"10705",NA,4
"Slovakia","iNEXT",641,1020.7138436637151,47.16753584188193,928.2671721741244,1113.1605151533058,"10503",NA,20
"Bolivia","iNEXT",696,1030.5088031077944,42.18012917334236,947.8372690647961,1113.1803371507926,"17991",NA,3
"Hungary","iChao",NA,1045.758,NA,990.067,1113.239,"9102",31.305,10
"Bulgaria","iNEXT",749,1040.9533722341912,37.002128908131084,968.4305322229459,1113.4762122454365,"11226",NA,4
"Croatia","iChao",NA,1051.031,NA,998.828,1113.487,"11232",29.155,6
"Bulgaria","iNEXT",749,1031.6890430248627,41.73753094512301,949.8849855687957,1113.4931004809298,"9973",NA,4
"Portugal","iChao",NA,1064.338,NA,1022.071,1113.501,"19519",23.27,17
"DRC","iNEXT",769,1036.2186678463095,39.4566821111431,958.8849919590232,1113.5523437335958,"9890",NA,6
"Turkmenistan","iNEXT",601,997.1108792355428,59.42023302950599,880.6493625447338,1113.5723959263519,"1048",NA,22
"Ukraine","iNEXT",827,1055.3885280441732,29.693430782178027,997.1904731336713,1113.5865829546751,"15540",NA,23
"Slovakia","iNEXT",641,1005.5132280866212,55.22529547189394,897.2736379261263,1113.7528182471162,"8894",NA,20
"Croatia","iChao",NA,1051.418,NA,999.271,1113.776,"9610",29.117,6
"Colombia","iNEXT",814,1041.267032926985,37.021753457636116,968.705729505497,1113.828336348473,"39912",NA,5
"India","iNEXT",792,1040.7514997928395,37.29483330311624,967.6549697093067,1113.8480298763723,"25484",NA,10
"Slovakia","iChao",NA,1015.564,NA,937.69,1113.878,"9492",44.7,20
"Croatia","iNEXT",733,1036.366497027185,39.55050419359275,958.848933237343,1113.8840608170271,"9613",NA,6
"Bolivia","iChao",NA,1029.411,NA,961.993,1113.916,"16654",38.557,3
"Ukraine","iNEXT",827,1051.1380893106355,32.22642458044616,987.9754577824646,1114.3007208388062,"15509",NA,23
"Colombia","iNEXT",814,1056.3996869921327,29.54898314462402,998.4847442488885,1114.314629735377,"39127",NA,5
"Portugal","iNEXT",763,1048.4362697181687,33.631790629378756,982.5191713489946,1114.3533680873427,"17237",NA,17
"Benin","iChao",NA,607.717,NA,341.562,1114.357,"180",189.24,3
"Hungary","iChao",NA,1055.471,NA,1005.433,1114.501,"7372",27.747,10
"Portugal","iChao",NA,1061.04,NA,1015.603,1114.65,"17798",25.198,17
"Portugal","iNEXT",763,1036.3609994366486,39.94820065329823,958.0639649090047,1114.6580339642926,"19526",NA,17
"Slovakia","iChao",NA,1021.384,NA,946.476,1114.661,"7985",42.697,20
"Portugal","iNEXT",763,1045.3370258987989,35.37931949202331,975.9948338968973,1114.6792179007005,"17741",NA,17
"India","iNEXT",792,1047.6602450191708,34.21066558419112,980.6085725870123,1114.7119174513293,"23135",NA,10
"Slovakia","iChao",NA,1023.785,NA,950.268,1114.778,"10476",41.775,20
"Romania","iNEXT",728,1033.2733378919943,41.60112856825596,951.7366241819923,1114.8100516019963,"8887",NA,18
"Bulgaria","iNEXT",749,1040.9517161617523,37.688919508154626,967.0827913095403,1114.8206410139644,"10554",NA,4
"India","iNEXT",792,1041.5173605423267,37.42793912411642,968.1599478435011,1114.8747732411525,"22806",NA,10
"Azerbaijan","iChao",NA,1028.85,NA,956.664,1114.981,"1481",40.26,2
"Turkmenistan","iChao",NA,1051.473,NA,995.8,1114.996,"1051",30.354,22
"Ukraine","iNEXT",827,1047.8859317284423,34.24750700134363,980.7620514455255,1115.0098120113591,"15702",NA,23
"Azerbaijan","iChao",NA,1026.065,NA,951.958,1115.056,"1397",41.466,2
"India","iNEXT",792,1043.162601076553,36.68331491668287,971.2646250063138,1115.0605771467924,"21448",NA,10
"Ukraine","iNEXT",827,1047.0551340760485,34.702746742248074,979.0390002966276,1115.0712678554694,"14631",NA,23
"Ukraine","iChao",NA,1068.169,NA,1028.813,1115.2,"16798",21.967,23
"Turkmenistan","iNEXT",601,1023.0966401734104,47.01912598833316,930.940846651726,1115.2524336950946,"1038",NA,22
"India","iNEXT",792,1048.9847974659351,33.83123480052313,982.6767957043917,1115.2927992274786,"23845",NA,10
"Croatia","iNEXT",733,1023.9153959998007,46.64528139984547,932.4923244073674,1115.3384675922339,"10811",NA,6
"Turkmenistan","iChao",NA,1045.133,NA,984.415,1115.466,"1065",33.359,22
"Colombia","iNEXT",814,1051.7084632368635,32.52997844015004,987.9508770763049,1115.466049397422,"40827",NA,5
"Romania","iNEXT",728,1027.2255924604265,45.047754857486886,938.933615355363,1115.51756956549,"7286",NA,18
"Ukraine","iChao",NA,1070.894,NA,1033.141,1115.561,"14949",20.966,23
"Ukraine","iNEXT",827,1051.00398921913,32.96044752937675,986.4026991472296,1115.6052792910307,"16527",NA,23
"Azerbaijan","iChao",NA,1033.815,NA,964.526,1115.687,"1459",38.453,2
"Portugal","iChao",NA,1063.329,NA,1018.581,1115.912,"20362",24.764,17
"Azerbaijan","iChao",NA,1031.744,NA,960.869,1115.913,"1482",39.435,2
"Bulgaria","iNEXT",749,1033.9117613895003,41.87155771551436,951.845016290502,1115.9785064884986,"10411",NA,4
"Tunisia","iNEXT",686,1027.7621500744897,45.00961077006146,939.544934007003,1115.9793661419762,"2999",NA,22
"Turkmenistan","iChao",NA,1044.556,NA,982.987,1116.049,"1061",33.868,22
"Bolivia","iChao",NA,1030.921,NA,962.953,1116.194,"17082",38.89,3
"Bulgaria","iChao",NA,1056.168,NA,1005.921,1116.241,"11628",28.052,4
"Colombia","iNEXT",814,1040.3337111296419,38.743739507616276,964.3973770683124,1116.2700451909714,"40602",NA,5
"Colombia","iNEXT",814,1048.3152613497857,34.71334258855174,980.2783600932239,1116.3521626063475,"40461",NA,5
"Portugal","iNEXT",763,1042.842846100268,37.53287549102178,969.2797619016392,1116.4059302988967,"18717",NA,17
"Colombia","iNEXT",814,1053.9995188682446,31.85172998307815,991.5712752561169,1116.4277624803724,"40164",NA,5
"Hungary","iChao",NA,1052.508,NA,998.917,1116.663,"9047",29.939,10
"Portugal","iChao",NA,1065.413,NA,1021.549,1116.719,"17771",24.218,17
"Ukraine","iChao",NA,1070.61,NA,1031.83,1116.733,"15714",21.593,23
"Romania","iChao",NA,1050.421,NA,995.407,1116.754,"8683",30.847,18
"Slovenia","iChao",NA,1019.943,NA,941.056,1116.76,"6377",44.633,20
"Turkmenistan","iNEXT",601,1017.6036252772419,50.59634452019484,918.4366122682794,1116.7706382862043,"1073",NA,22
"Colombia","iChao",NA,1060.192,NA,1014.171,1116.793,"41579",26.066,5
"Romania","iNEXT",728,1030.3644277143865,44.112033676900325,943.9064304228439,1116.822425005929,"8501",NA,18
"Turkmenistan","iChao",NA,1046.414,NA,985.591,1116.856,"1100",33.413,22
"India","iNEXT",792,1039.5104109646722,39.47693365475915,962.1370427812672,1116.8837791480773,"23749",NA,10
"Bolivia","iNEXT",696,1018.8987299041582,50.02815769843638,920.8453426023327,1116.9521172059838,"19159",NA,3
"Croatia","iChao",NA,1049.344,NA,993.621,1116.981,"9882",31.35,6
"Portugal","iNEXT",763,1037.8017975919845,40.40286247538082,958.6136422679134,1116.9899529160557,"20330",NA,17
"Croatia","iChao",NA,1053.169,NA,999.922,1117.039,"10609",29.777,6
"India","iNEXT",792,1051.02239121379,33.72884062250934,984.91507835338,1117.1297040741997,"22351",NA,10
"Slovakia","iChao",NA,1022.481,NA,946.595,1117.209,"7798",43.309,20
"Bolivia","iChao",NA,1037.313,NA,972.523,1117.284,"18309",36.764,3
"Portugal","iChao",NA,1065.485,NA,1021.239,1117.312,"16608",24.447,17
"Hungary","iNEXT",727,1036.1941061394994,41.39727307469854,955.0569418549206,1117.3312704240782,"7554",NA,10
"DRC","iNEXT",769,1041.5679792270303,38.71471428619385,965.688533554332,1117.4474248997285,"10242",NA,6
"Romania","iNEXT",728,1031.8197382132253,43.69379813895352,946.1814675131131,1117.4580089133374,"8583",NA,18
"Ukraine","iNEXT",827,1051.1034773767667,33.87076193089864,984.718003863275,1117.4889508902584,"16794",NA,23
"Turkmenistan","iChao",NA,1043.304,NA,979.767,1117.498,"1086",35.051,22
"Ukraine","iNEXT",827,1053.0913991058064,32.87410165525274,988.6593438374026,1117.5234543742104,"15558",NA,23
"Portugal","iChao",NA,1059.518,NA,1010.886,1117.692,"17860",27.158,17
"Colombia","iChao",NA,1059.87,NA,1013.018,1117.752,"39662",26.598,5
"Ukraine","iNEXT",827,1050.9854865880523,34.072565342655246,984.2044856555602,1117.7664875205442,"15434",NA,23
"Bolivia","iChao",NA,1037.062,NA,971.753,1117.837,"16479",37.097,3
"Ukraine","iNEXT",827,1051.0057992049433,34.16224976919102,984.0490200264671,1117.9625783834194,"19074",NA,23
"Hungary","iChao",NA,1057.118,NA,1005.733,1117.976,"9158",28.551,10
"Portugal","iNEXT",763,1040.580511919182,39.491636208246646,963.1783272604607,1117.9826965779034,"17549",NA,17
"Portugal","iNEXT",763,1041.8622424822684,38.857960391012526,965.7020396031999,1118.0224453613368,"19994",NA,17
"Slovakia","iChao",NA,1020.066,NA,942.212,1118.042,"8886",44.616,20
"Azerbaijan","iChao",NA,1024.403,NA,947.104,1118.111,"1524",43.462,2
"India","iNEXT",792,1052.4835235712776,33.497791353802725,986.829058956187,1118.1379881863681,"22152",NA,10
"Tunisia","iChao",NA,1051.75,NA,995.496,1118.228,"2816",31.221,22
"Tunisia","iChao",NA,1044.575,NA,983.429,1118.29,"2871",34.282,22
"Portugal","iChao",NA,1067.535,NA,1024.018,1118.307,"17755",23.996,17
"Tunisia","iChao",NA,1054.486,NA,999.993,1118.436,"2740",30.137,22
"Hungary","iNEXT",727,1029.3381861324733,45.47883065001673,940.2013159994442,1118.4750562655024,"7982",NA,10
"Colombia","iNEXT",814,1052.5544066259904,33.64324387819693,986.6148603016267,1118.493952950354,"40889",NA,5
"India","iNEXT",792,1036.6433908224635,41.768060696860054,954.779496152535,1118.5072854923922,"21933",NA,10
"Ukraine","iNEXT",827,1055.0018670120135,32.41496841951128,991.469696349768,1118.5340376742588,"14831",NA,23
"Bolivia","iChao",NA,1032.429,NA,963.78,1118.676,"18328",39.307,3
"India","iNEXT",792,1040.7482806068435,39.77472084678743,962.7912602520058,1118.7053009616814,"19164",NA,10
"India","iNEXT",792,1047.474408274723,36.380429327041995,976.1700770516159,1118.77873949783,"21596",NA,10
"Croatia","iNEXT",733,1032.0748265452798,44.31012689671682,945.2285736773154,1118.9210794132443,"9161",NA,6
"Hungary","iChao",NA,1061.283,NA,1012.052,1119.017,"8455",27.217,10
"Hungary","iNEXT",727,1038.5116969205756,41.1210116733033,957.91599503305,1119.1073988081012,"7752",NA,10
"Hungary","iChao",NA,1052.099,NA,996.27,1119.502,"8965",31.324,10
"Croatia","iChao",NA,1052.276,NA,996.733,1119.515,"9943",31.207,6
"Portugal","iNEXT",763,1046.8739032090532,37.06329278421524,974.2311842035281,1119.5166222145783,"18292",NA,17
"Ukraine","iNEXT",827,1046.9912159985547,37.074323921528176,974.3268763611877,1119.6555556359217,"16556",NA,23
"Romania","iNEXT",728,1030.94288745039,45.2759617618767,942.2036330316988,1119.6821418690809,"8865",NA,18
"Colombia","iNEXT",814,1054.4765473863704,33.30756467718562,989.1949202063481,1119.7581745663927,"42978",NA,5
"Colombia","iChao",NA,1064.342,NA,1018.918,1119.835,"39548",25.64,5
"Ukraine","iChao",NA,1071.114,NA,1030.477,1119.866,"17258",22.727,23
"Azerbaijan","iChao",NA,1020.666,NA,939.74,1119.949,"1529",45.778,2
"DRC","iNEXT",769,1046.0182112712705,37.74105838496244,972.0470960983208,1119.9893264442203,"8946",NA,6
"Bolivia","iNEXT",696,1027.010644231697,47.4889954624356,933.9339234633371,1120.0873650000567,"16682",NA,3
"Azerbaijan","iChao",NA,1028.01,NA,951.717,1120.089,"1479",42.799,2
"Hungary","iNEXT",727,1033.4080363854387,44.26431786193201,946.6515675758191,1120.1645051950584,"7982",NA,10
"Ukraine","iChao",NA,1072.81,NA,1033.068,1120.217,"16456",22.162,23
"Bulgaria","iNEXT",749,1043.995808239319,38.91883312948324,967.7162969852077,1120.2753194934305,"11789",NA,4
"Portugal","iNEXT",763,1039.7755891671184,41.082947034844445,959.2544926000567,1120.29668573418,"18972",NA,17
"Croatia","iChao",NA,1054.013,NA,999.02,1120.375,"9280",30.848,6
"Tunisia","iChao",NA,1051.126,NA,992.895,1120.405,"2990",32.429,22
"Ukraine","iNEXT",827,1051.189402684999,35.33624253503264,981.9316399673627,1120.4471654026354,"13605",NA,23
"Hungary","iChao",NA,1061.57,NA,1011.478,1120.482,"7487",27.733,10
"Tunisia","iChao",NA,1049.987,NA,990.838,1120.613,"2681",33.001,22
"Colombia","iChao",NA,1062.933,NA,1016.095,1120.625,"39165",26.549,5
"Hungary","iChao",NA,1054.505,NA,999.481,1120.639,"7984",30.802,10
"Colombia","iChao",NA,1057.893,NA,1007.95,1120.696,"39567",28.61,5
"Bulgaria","iNEXT",749,1032.1122805670668,45.24592103042505,943.4319049000903,1120.7926562340433,"11551",NA,4
"Bulgaria","iNEXT",749,1040.3546922888672,41.20451202094594,959.5953327272655,1121.114051850469,"11836",NA,4
"India","iNEXT",792,1038.267226897304,42.281819357522956,955.3963837557307,1121.1380700388775,"22320",NA,10
"Colombia","iNEXT",814,1059.3927799923908,31.507993557822196,997.6382473939394,1121.1473125908424,"40253",NA,5
"India","iNEXT",792,1050.0499726845258,36.29066633719576,978.921573688662,1121.1783716803895,"23950",NA,10
"Colombia","iChao",NA,1061.569,NA,1013.52,1121.189,"40446",27.338,5
"Colombia","iChao",NA,1059.753,NA,1010.575,1121.233,"41435",28.088,5
"Romania","iChao",NA,1052.404,NA,995.589,1121.281,"8774",31.945,18
"Tunisia","iNEXT",686,1037.426062924596,42.79774610147198,953.5440219462214,1121.3081039029705,"2794",NA,22
"Bulgaria","iNEXT",749,1044.917620152812,39.004490518572666,968.4702235010757,1121.3650168045485,"10827",NA,4
"Colombia","iChao",NA,1061.819,NA,1013.8,1121.379,"38740",27.316,5
"Ukraine","iChao",NA,1076.761,NA,1038.844,1121.465,"13704",21.019,23
"Croatia","iChao",NA,1052.646,NA,995.968,1121.54,"10192",31.911,6
"Romania","iNEXT",728,1034.3351865136299,44.50502005478388,947.1069500750207,1121.563422952239,"8200",NA,18
"Tunisia","iNEXT",686,1025.3553302716437,49.18448880988122,928.9555036062632,1121.7551569370241,"2924",NA,22
"DRC","iNEXT",769,1043.312864596291,40.02331598327628,964.8686067272034,1121.7571224653789,"9853",NA,6
"Colombia","iChao",NA,1060.413,NA,1011.272,1121.795,"40563",28.054,5
"Croatia","iChao",NA,1061.491,NA,1010.538,1121.8,"9498",28.302,6
"Hungary","iChao",NA,1053.94,NA,997.71,1121.85,"8525",31.555,10
"Portugal","iNEXT",763,1040.2989434720203,41.61469075245619,958.7356483694342,1121.8622385746064,"18874",NA,17
"Portugal","iNEXT",763,1044.3110087380605,39.601660079779336,966.6931812536955,1121.9288362224256,"16686",NA,17
"Bulgaria","iNEXT",749,1040.6452635136923,41.59243057225248,959.1255975625947,1122.1649294647898,"11204",NA,4
"Bulgaria","iNEXT",749,1038.9560438856,42.46896985356218,955.7183925121008,1122.193695259099,"11044",NA,4
"Colombia","iChao",NA,1065.607,NA,1019.275,1122.397,"39949",26.197,5
"Slovakia","iChao",NA,1028.143,NA,952.304,1122.459,"10481",43.199,20
"Ukraine","iNEXT",827,1057.0525551716764,33.377336735819235,991.634177269605,1122.4709330737478,"15681",NA,23
"Slovenia","iNEXT",594,1023.0576009127744,50.7496106914381,923.590191728127,1122.525010097422,"6746",NA,20
"Romania","iChao",NA,1054.038,NA,997.399,1122.586,"8469",31.818,18
"Portugal","iChao",NA,1070.516,NA,1025.973,1122.604,"22719",24.59,17
"Portugal","iChao",NA,1067.674,NA,1021.111,1122.638,"16294",25.828,17
"Tunisia","iNEXT",686,1036.551981337383,43.9414953373076,950.4282330494254,1122.6757296253406,"2777",NA,22
"Bolivia","iChao",NA,1039.65,NA,972.772,1122.687,"14040",38.063,3
"Ukraine","iNEXT",827,1059.2120075330706,32.40618477939623,995.6970524891038,1122.7269625770373,"18195",NA,23
"Bulgaria","iNEXT",749,1051.9484787815363,36.13705741245585,981.1211477458668,1122.775809817206,"10599",NA,4
"India","iChao",NA,1063.795,NA,1015.304,1122.816,"24067",27.32,10
"Turkmenistan","iNEXT",601,1026.387956212198,49.27954935919121,929.8018142938196,1122.9740981305767,"1069",NA,22
"Slovakia","iChao",NA,1023.84,NA,945.019,1123.097,"9832",45.185,20
"Bolivia","iNEXT",696,1029.0454032133873,47.99672104707051,934.9735585851134,1123.117247841661,"19481",NA,3
"Colombia","iChao",NA,1060.277,NA,1010.041,1123.386,"40281",28.763,5
"Croatia","iChao",NA,1057.451,NA,1002.616,1123.438,"9421",30.716,6
"Tunisia","iNEXT",686,1027.634470696728,48.9012905757706,931.7897023706897,1123.4792390227663,"2665",NA,22
"Colombia","iChao",NA,1062.39,NA,1013.356,1123.483,"42856",27.957,5
"Colombia","iNEXT",814,1048.3150756636003,38.37162413724218,973.1080743262978,1123.5220770009028,"39204",NA,5
"Tunisia","iChao",NA,1051.207,NA,990.77,1123.628,"2870",33.781,22
"Ukraine","iNEXT",827,1057.1332118398118,33.95134912693232,990.589790324479,1123.6766333551445,"14802",NA,23
"Croatia","iChao",NA,1055.466,NA,999.133,1123.722,"9676",31.665,6
"Turkmenistan","iNEXT",601,1032.225483047758,46.70447494634419,940.6863942360702,1123.7645718594458,"1055",NA,22
"Ukraine","iNEXT",827,1053.6570357704718,35.78929366708089,983.5113091508659,1123.8027623900778,"16668",NA,23
"Romania","iNEXT",728,1035.9655798182619,44.85123723195021,948.0587701815775,1123.8723894549462,"7937",NA,18
"Portugal","iNEXT",763,1042.0002089545496,41.774482937383475,960.123726924495,1123.8766909846042,"15810",NA,17
"Ukraine","iNEXT",827,1063.0256509572864,31.09285245781475,1002.0847799633517,1123.966521951221,"17511",NA,23
"Ukraine","iNEXT",827,1063.1820643105789,31.086083217981482,1002.2544607829202,1124.1096678382376,"16949",NA,23
"Portugal","iNEXT",763,1047.6950073667947,39.00571764814352,971.245205585295,1124.1448091482944,"18046",NA,17
"Croatia","iChao",NA,1054.602,NA,997.418,1124.152,"9824",32.205,6
"Hungary","iChao",NA,1056.909,NA,1000.999,1124.226,"8960",31.326,10
"DRC","iChao",NA,1063.357,NA,1012.909,1124.24,"9629",28.3,6
"Colombia","iChao",NA,1064.82,NA,1016.723,1124.329,"38042",27.325,5
"Romania","iNEXT",728,1044.9951132250385,40.555933797960165,965.5069436216459,1124.4832828284311,"8852",NA,18
"Bulgaria","iNEXT",749,1037.7473101855367,44.276931570847594,950.966118960731,1124.5285014103424,"12049",NA,4
"Portugal","iNEXT",763,1043.1531601022032,41.5336941288529,961.7486154647487,1124.5577047396575,"20743",NA,17
"Tunisia","iNEXT",686,1031.663550266289,47.42226561131508,938.717617602819,1124.6094829297588,"3012",NA,22
"Tunisia","iNEXT",686,1037.7427187397263,44.35000743935358,950.8183014445098,1124.6671360349428,"2638",NA,22
"Bulgaria","iNEXT",749,1042.7381245164472,41.8725884582041,960.6693591988997,1124.8068898339948,"10177",NA,4
"India","iNEXT",792,1045.8758875996193,40.3382259887022,966.8144174615254,1124.9373577377132,"23282",NA,10
"Turkmenistan","iNEXT",601,1038.8319258914216,43.94407033411706,952.7031307024572,1124.960721080386,"1091",NA,22
"Ukraine","iNEXT",827,1061.1469420021256,32.57085285299517,997.3092434645013,1124.9846405397498,"15385",NA,23
"Romania","iChao",NA,1065.405,NA,1014.745,1125.017,"8144",28.056,18
"Ukraine","iNEXT",827,1059.025555926766,33.7531823292119,992.8705341978969,1125.180577655635,"16264",NA,23
"Colombia","iNEXT",814,1049.438903705238,38.68059423439764,973.6263321052111,1125.251475305265,"38621",NA,5
"Ukraine","iNEXT",827,1061.1309775302477,32.72849909777246,996.984298030562,1125.2776570299334,"15240",NA,23
"Slovakia","iChao",NA,1031.161,NA,955.308,1125.32,"10238",43.166,20
"Ukraine","iChao",NA,1079.939,NA,1041.388,1125.422,"17672",21.378,23
"India","iNEXT",792,1050.9748408614214,38.07692066571925,976.3454477144228,1125.60423400842,"21580",NA,10
"Bolivia","iChao",NA,1038.552,NA,969.137,1125.607,"16533",39.71,3
"Colombia","iNEXT",814,1054.0178106171347,36.58175650905958,982.3188853681643,1125.7167358661052,"41971",NA,5
"Romania","iNEXT",728,1046.0945683820496,40.652352997254724,966.4174206206216,1125.7717161434778,"7693",NA,18
"India","iNEXT",792,1054.1933712524392,36.71902057730149,982.2254133733431,1126.1613291315352,"22548",NA,10
"Turkmenistan","iChao",NA,1052.453,NA,989.061,1126.199,"1049",34.904,22
"Portugal","iNEXT",763,1048.1814684729889,39.81456712156392,970.146350854671,1126.2165860913067,"17937",NA,17
"Colombia","iChao",NA,1060.61,NA,1008.744,1126.29,"40998",29.818,5
"Bolivia","iChao",NA,1040.262,NA,971.376,1126.381,"16748",39.344,3
"India","iNEXT",792,1049.6331422588364,39.17101591769237,972.8593618223143,1126.4069226953586,"21728",NA,10
"Turkmenistan","iChao",NA,1054.946,NA,993.182,1126.437,"1044",33.921,22
"Canada","iNEXT",920,1073.0785837170647,27.271496424196627,1019.6274329211265,1126.529734513003,"144102",NA,4
"Tunisia","iChao",NA,1054.216,NA,993.735,1126.584,"2650",33.78,22
"Bulgaria","iNEXT",749,1046.6553351561852,40.80204531486086,966.6847958434867,1126.6258744688837,"12069",NA,4
"Romania","iChao",NA,1060.763,NA,1005.716,1126.721,"8963",30.767,18
"Portugal","iChao",NA,1070.741,NA,1023.377,1126.721,"17533",26.289,17
"Romania","iNEXT",728,1039.0121297807532,44.762705482639966,951.2788391842054,1126.7454203773011,"8990",NA,18
"Colombia","iChao",NA,1065.718,NA,1016.532,1126.85,"40089",28.008,5
"Portugal","iChao",NA,1068.965,NA,1020.258,1126.893,"17997",27.121,17
"Turkmenistan","iChao",NA,1059.719,NA,1001.125,1126.894,"1060",32.024,22
"Romania","iChao",NA,1062.622,NA,1008.696,1126.908,"7836",30.062,18
"Croatia","iChao",NA,1061.785,NA,1007.397,1126.953,"10398",30.398,6
"India","iNEXT",792,1051.3020383743906,38.62906972777394,975.5904529516672,1127.013623797114,"22188",NA,10
"Turkmenistan","iNEXT",601,1032.2270284012493,48.41548970933694,937.3344122770793,1127.1196445254193,"1059",NA,22
"Turkmenistan","iNEXT",601,1030.0781207320404,49.516756329323975,933.0270616953196,1127.129179768761,"1046",NA,22
"Azerbaijan","iChao",NA,1045.759,NA,976.506,1127.198,"1422",38.34,2
"Portugal","iNEXT",763,1054.928251909239,36.8816179233219,982.641609087961,1127.2148947305168,"15272",NA,17
"Tunisia","iNEXT",686,1037.84272351782,45.632455780553514,948.4047536618185,1127.2806933738216,"2812",NA,22
"Colombia","iChao",NA,1059.655,NA,1006.596,1127.331,"42988",30.616,5
"Ukraine","iNEXT",827,1057.0237031861939,35.89689878169574,986.6670744173906,1127.3803319549972,"15939",NA,23
"Ukraine","iNEXT",827,1063.0546465492766,32.84510632392387,998.6794210859972,1127.4298720125562,"15202",NA,23
"Hungary","iChao",NA,1059.083,NA,1002.319,1127.551,"7548",31.834,10
"Hungary","iChao",NA,1063.139,NA,1009.033,1127.626,"9068",30.159,10
"Bulgaria","iNEXT",749,1044.2171009832878,42.617061457710506,960.6891953992451,1127.7450065673304,"11463",NA,4
"Portugal","iChao",NA,1072.929,NA,1026.302,1127.813,"19191",25.826,17
"Hungary","iChao",NA,1060.213,NA,1003.991,1127.846,"9054",31.487,10
"Croatia","iChao",NA,1058.202,NA,1000.829,1127.866,"10968",32.284,6
"Bulgaria","iChao",NA,1070.456,NA,1021.722,1127.897,"11343",27.012,4
"Tunisia","iNEXT",686,1034.001035890364,47.95959828711534,940.001950534609,1128.0001212461189,"2783",NA,22
"Bolivia","iChao",NA,1038.06,NA,966.836,1128.015,"16976",40.892,3
"Tunisia","iChao",NA,1055.658,NA,995.121,1128.05,"2875",33.801,22
"Tunisia","iChao",NA,1054.07,NA,992.392,1128.164,"2759",34.519,22
"India","iNEXT",792,1063.0563945643362,33.2196602675751,997.9470568612329,1128.1657322674396,"20993",NA,10
"Ukraine","iChao",NA,1082.861,NA,1044.324,1128.232,"15288",21.348,23
"India","iNEXT",792,1054.4615894609667,37.730634657554496,980.5109044183212,1128.4122745036123,"25303",NA,10
"Slovakia","iChao",NA,1035.644,NA,960.516,1128.436,"9912",42.645,20
"Croatia","iNEXT",733,1045.589153765962,42.308939687375215,962.6651557546294,1128.5131517772948,"10072",NA,6
"Romania","iChao",NA,1067.012,NA,1014.92,1128.562,"7836",28.909,18
