"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Global","iNEXT",20934,25006.0083285582,152.9536419903045,24706.22469895297,25305.79195816343,"8372948",NA,1
"Global","iNEXT",20934,25038.05393600448,137.236992333058,24769.074373685085,25307.03349832387,"8363658",NA,1
"Global","iNEXT",20934,25068.00823919488,126.38388936501518,24820.300367813357,25315.716110576406,"8361168",NA,1
"Global","iNEXT",20934,25056.029019696238,133.47453583336096,24794.42373660965,25317.634302782826,"8369622",NA,1
"Global","iNEXT",20934,25058.078763561352,133.5093359151689,24796.40527356776,25319.752253554943,"8368689",NA,1
"Global","iNEXT",20934,25024.188609406505,151.77880526887162,24726.707617463,25321.66960135001,"8372627",NA,1
"Global","iNEXT",20934,25062.015071030368,134.09946081927902,24799.18495747834,25324.845184582395,"8370337",NA,1
"Global","iNEXT",20934,25030.06948647544,150.49045289570566,24735.113618782736,25325.025354168145,"8371089",NA,1
"Global","iNEXT",20934,25034.138372451547,151.57897853211614,24737.04903371523,25331.227711187865,"8373600",NA,1
"Global","iNEXT",20934,25022.029270599734,157.8416292921715,24712.665361925956,25331.393179273513,"8370641",NA,1
"Global","iNEXT",20934,25026.59588497686,156.44350551655316,24719.972248549224,25333.2195214045,"8368138",NA,1
"Global","iNEXT",20934,25034.105980094515,153.98591536539635,24732.299131851905,25335.912828337125,"8363985",NA,1
"Global","iNEXT",20934,25026.527222054774,158.57578544144582,24715.72439376939,25337.33005034016,"8362948",NA,1
"Global","iNEXT",20934,25020.162876235536,162.29101363339836,24702.078334499576,25338.247417971495,"8378292",NA,1
"Global","iNEXT",20934,25088.034370484158,130.79446161398326,24831.681936343444,25344.38680462487,"8369267",NA,1
"Global","iNEXT",20934,25034.023781885327,159.6894571533636,24721.038197153983,25347.009366616672,"8368091",NA,1
"Global","iNEXT",20934,25052.0290487215,150.59504801120377,24756.86817836946,25347.18991907354,"8364978",NA,1
"Global","iNEXT",20934,25100.023621962588,126.63960506006534,24851.814557028483,25348.232686896692,"8371044",NA,1
"Global","iNEXT",20934,25048.046828340353,159.1815105126109,24736.056800730952,25360.036855949755,"8365373",NA,1
"Global","iNEXT",20934,25082.040503597113,146.46388648938634,24794.976561042153,25369.104446152072,"8364374",NA,1
"Global","iNEXT",20934,25108.23320776365,136.94319120922617,24839.829485065584,25376.636930461715,"8374226",NA,1
"Global","iNEXT",20934,25122.28008181084,133.81504371786545,24860.00741553417,25384.55274808751,"8364626",NA,1
"Global","iNEXT",20934,25090.005504120687,158.1564832814826,24780.02449296747,25399.986515273904,"8364887",NA,1
"Global","iNEXT",20934,25112.07772413205,148.4515588816823,24821.118015275126,25403.037432988975,"8373765",NA,1
"Global","iNEXT",20934,25166.73336109658,131.91877940568025,24908.177304576962,25425.289417616197,"8365777",NA,1
"Global","iNEXT",20934,25176.18014451931,128.2500032459627,24924.814757140077,25427.54553189854,"8367042",NA,1
"Global","iNEXT",20934,25151.236854995084,141.6136134672543,24873.67927287869,25428.79443711148,"8369760",NA,1
"Global","iNEXT",20934,25152.819583670607,143.37941099932752,24871.80110198736,25433.838065353855,"8369156",NA,1
"Global","iNEXT",20934,25146.820785286014,149.11001045463507,24854.57053506054,25439.07103551149,"8362481",NA,1
"Global","iNEXT",20934,25166.480883705364,141.4645408749732,24889.215478500922,25443.746288909806,"8366691",NA,1
"Global","iNEXT",20934,25162.284075670705,150.95463258797082,24866.418432498805,25458.149718842604,"8366375",NA,1
"Global","iChao",NA,25633.56,NA,25424.283,25852.592,"8370510",109.241,1
"Global","iChao",NA,25722.25,NA,25510.795,25943.475,"8367717",110.357,1
"Global","iChao",NA,25729.141,NA,25515.404,25952.848,"8369300",111.571,1
"Global","iChao",NA,25734.978,NA,25520.54,25959.442,"8377740",111.943,1
"Global","iChao",NA,25758.75,NA,25545.339,25982.038,"8366344",111.382,1
"Global","iChao",NA,25775.885,NA,25563.416,25998.104,"8368125",110.869,1
"Global","iChao",NA,25785.941,NA,25569.528,26012.456,"8371217",112.97,1
"Global","iChao",NA,25793.625,NA,25576.173,26021.262,"8369034",113.521,1
"Global","iChao",NA,25796.87,NA,25579.096,26024.854,"8374889",113.692,1
"Global","iChao",NA,25799.637,NA,25580.441,26029.174,"8370550",114.45,1
"Global","iChao",NA,25804.685,NA,25588.956,26030.412,"8368481",112.595,1
"Global","iChao",NA,25806.94,NA,25588.399,26035.743,"8362891",114.096,1
"Global","iChao",NA,25811.018,NA,25593.271,26038.94,"8370987",113.669,1
"Global","iChao",NA,25808.726,NA,25588.474,26039.4,"8368899",115.009,1
"Global","iChao",NA,25815.476,NA,25597.044,26044.14,"8369182",114.033,1
"Global","iChao",NA,25815.364,NA,25595.511,26045.586,"8368466",114.792,1
"Global","iChao",NA,25823.278,NA,25605.438,26051.276,"8370861",113.712,1
"Global","iChao",NA,25835.006,NA,25616.151,26064.09,"8373112",114.248,1
"Global","iChao",NA,25836.012,NA,25617.554,26064.66,"8369241",114.036,1
"Global","iChao",NA,25837.652,NA,25619.436,26066.032,"8366935",113.906,1
"Global","iChao",NA,25837.512,NA,25615.997,26069.507,"8363113",115.668,1
"Global","iChao",NA,25841.165,NA,25621.205,26071.447,"8370292",114.835,1
"Global","iChao",NA,25842.813,NA,25619.782,26076.46,"8360482",116.476,1
"Global","iChao",NA,25846.31,NA,25626.105,26076.85,"8367348",114.964,1
"Global","iChao",NA,25849.77,NA,25629.607,26080.256,"8366544",114.939,1
"Global","iChao",NA,25851.356,NA,25631.603,26081.389,"8373784",114.719,1
"Global","iChao",NA,25852.842,NA,25632.008,26084.057,"8370931",115.296,1
"Global","iChao",NA,25859.493,NA,25640.395,26088.791,"8369842",114.365,1
"Global","iChao",NA,25862.63,NA,25643.346,26092.125,"8372655",114.462,1
"Global","iChao",NA,25869.138,NA,25646.6,26102.186,"8372660",116.198,1
"Global","iChao",NA,25867.304,NA,25642.841,26102.466,"8366690",117.228,1
"Global","iChao",NA,25877.102,NA,25652.396,26112.51,"8368320",117.352,1
"Global","iChao",NA,25878.484,NA,25654.519,26113.076,"8376772",116.956,1
"Global","iChao",NA,25888.058,NA,25670.468,26115.644,"8370588",113.544,1
"Global","iChao",NA,25886.125,NA,25665.089,26117.488,"8368931",115.386,1
"Global","iChao",NA,25883.012,NA,25658.266,26118.45,"8368775",117.37,1
"Global","iChao",NA,25891.882,NA,25672.189,26121.761,"8369313",114.665,1
"Global","iChao",NA,25891.187,NA,25670.242,26122.44,"8365630",115.334,1
"Global","iChao",NA,25894.992,NA,25674.777,26125.436,"8375433",114.942,1
"Global","iChao",NA,25896.275,NA,25675.684,26127.129,"8372580",115.142,1
"Global","iChao",NA,25897.923,NA,25676.277,26129.928,"8363910",115.705,1
"Global","iChao",NA,25905.548,NA,25680.9,26140.829,"8367876",117.305,1
"Global","iChao",NA,25906.902,NA,25682.635,26141.761,"8372138",117.101,1
"Global","iChao",NA,25913.413,NA,25693.852,26143.1,"8369876",114.583,1
"Global","iChao",NA,25916.381,NA,25692.582,26150.704,"8368983",116.845,1
"Global","iChao",NA,25916.602,NA,25692.223,26151.562,"8363627",117.155,1
"Global","iChao",NA,25920.277,NA,25698.826,26152.019,"8369669",115.588,1
"Global","iChao",NA,25922.035,NA,25697.526,26157.125,"8369832",117.222,1
"Global","iChao",NA,25928.083,NA,25706.237,26160.242,"8370238",115.796,1
"Global","iChao",NA,25929.524,NA,25706.338,26163.146,"8375939",116.51,1
"Global","iChao",NA,25928.772,NA,25702.933,26165.307,"8374134",117.929,1
"Global","iChao",NA,25931.266,NA,25705.736,26167.455,"8371758",117.762,1
"Global","iChao",NA,25935.08,NA,25712.093,26168.474,"8373371",116.401,1
"Global","iChao",NA,25934.739,NA,25710.771,26169.207,"8376369",116.925,1
"Global","iChao",NA,25942.483,NA,25717.605,26177.932,"8371434",117.407,1
"Global","iChao",NA,25946.088,NA,25723.333,26179.204,"8367254",116.272,1
"Global","iChao",NA,25946.417,NA,25720.542,26182.951,"8370924",117.938,1
"Global","iChao",NA,25946.822,NA,25720.513,26183.832,"8373143",118.17,1
"Global","iChao",NA,25945.651,NA,25717.988,26184.148,"8372948",118.894,1
"Global","iChao",NA,25947.384,NA,25719.354,26186.28,"8369442",119.09,1
"Global","iChao",NA,25952.072,NA,25727.447,26187.223,"8368073",117.267,1
"Global","iChao",NA,25952.017,NA,25726.932,26187.673,"8376246",117.513,1
"Global","iChao",NA,25955.45,NA,25733.001,26188.21,"8368242",116.103,1
"Global","iChao",NA,25951.881,NA,25725.059,26189.441,"8378018",118.441,1
"Global","iChao",NA,25952.296,NA,25725.099,26190.268,"8368471",118.642,1
"Global","iChao",NA,25955.804,NA,25727.912,26194.53,"8362948",119.011,1
"Global","iChao",NA,25961.475,NA,25737.202,26196.219,"8365727",117.074,1
"Global","iChao",NA,25958.632,NA,25731.645,26196.358,"8368606",118.526,1
"Global","iChao",NA,25959.494,NA,25732.357,26197.383,"8368474",118.606,1
"Global","iChao",NA,25967.932,NA,25741.269,26205.282,"8378292",118.347,1
"Global","iChao",NA,25965.61,NA,25736.803,26205.318,"8370641",119.495,1
"Global","iChao",NA,25968.575,NA,25741.632,26206.231,"8372627",118.497,1
"Global","iChao",NA,25973.58,NA,25747.345,26210.449,"8368138",118.116,1
"Global","iChao",NA,25972.998,NA,25744.93,26211.878,"8371089",119.096,1
"Global","iChao",NA,25972.837,NA,25744.338,26212.191,"8373600",119.326,1
"Global","iChao",NA,25978.806,NA,25751.39,26216.958,"8369291",118.744,1
"Global","iChao",NA,25978.188,NA,25749.778,26217.432,"8368091",119.276,1
"Global","iChao",NA,25980.188,NA,25752.693,26218.424,"8367244",118.785,1
"Global","iChao",NA,25982.123,NA,25754.7,26220.275,"8363985",118.746,1
"Global","iChao",NA,25995.188,NA,25768.191,26232.844,"8363658",118.511,1
"Global","iChao",NA,25994.416,NA,25765.521,26234.155,"8365373",119.526,1
"Global","iChao",NA,26003.713,NA,25774.509,26243.77,"8364978",119.686,1
"Global","iChao",NA,26017.656,NA,25789.457,26256.58,"8369622",119.141,1
"Global","iChao",NA,26019.379,NA,25790.128,26259.451,"8370337",119.702,1
"Global","iChao",NA,26025.011,NA,25795.785,26265.045,"8361168",119.686,1
"Global","iChao",NA,26032.507,NA,25805.296,26270.317,"8368689",118.605,1
"Global","iChao",NA,26031.085,NA,25799.374,26273.832,"8364887",121.011,1
"Global","iChao",NA,26040.984,NA,25811.024,26281.786,"8364374",120.069,1
"Global","iChao",NA,26046.836,NA,25816.437,26288.107,"8369267",120.3,1
"Global","iChao",NA,26060.664,NA,25829.644,26302.586,"8371044",120.625,1
"Global","iChao",NA,26066.101,NA,25833.842,26309.369,"8374226",121.284,1
"Global","iChao",NA,26082.037,NA,25851.162,26323.752,"8373765",120.535,1
"Global","iChao",NA,26081.061,NA,25847.859,26325.33,"8364626",121.78,1
"Global","iChao",NA,26110.758,NA,25874.99,26357.775,"8369156",123.135,1
"Global","iChao",NA,26119.815,NA,25886.149,26364.505,"8362481",122.006,1
"Global","iChao",NA,26125.233,NA,25890.49,26371.095,"8369760",122.579,1
"Global","iChao",NA,26139.868,NA,25904.925,26385.916,"8365777",122.677,1
"Global","iChao",NA,26138.441,NA,25901.619,26386.553,"8366691",123.683,1
"Global","iChao",NA,26140.936,NA,25905.481,26387.542,"8366375",122.95,1
"Global","iChao",NA,26150.835,NA,25914.053,26398.874,"8367042",123.654,1
