"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"Asia","iNEXT",8346.872792919366,NA,8140.462357984606,8553.283227854128,"195697",6184,105.31338155338617
"Europe","iNEXT",3002.018606599827,NA,2909.439027992365,3094.5981852072887,"3389248",2516,47.23534684194085
"North America","iNEXT",6434.098456792329,NA,6293.933676151545,6574.263237433112,"2773649",5526,71.51395726982005
"Oceania","iNEXT",2409.024079497683,NA,2317.447841713608,2500.600317281758,"267830",2049,46.72342885196711
"South America","iNEXT",5373.1021365250635,NA,5225.74174513621,5520.462527913917,"398584",4349,75.18525470427709
"Africa","iNEXT",6384.1484060009425,NA,6228.414852989555,6539.88195901233,"255835",4976,79.45735444109904
"Asia","iNEXT",8363.355446106185,NA,8152.056310641651,8574.654581570718,"202024",6184,107.80766235055006
"Europe","iNEXT",2992.201472504907,NA,2901.173028367533,3083.2299166422813,"3391790",2516,46.44393716180245
"North America","iNEXT",6425.121626999895,NA,6307.050173985843,6543.193080013947,"2773188",5526,60.241644206416424
"Oceania","iNEXT",2447.4866837829722,NA,2357.310946513064,2537.6624210528803,"268904",2049,46.00887464320915
"South America","iNEXT",5388.336857646478,NA,5233.765705475729,5542.908009817227,"400996",4349,78.86428188986459
"Africa","iNEXT",6336.527744847147,NA,6148.106185175565,6524.949304518729,"253465",4976,96.13521531917291
"Asia","iNEXT",8130.18927238343,NA,7947.285023406686,8313.093521360173,"200225",6184,93.3202091566319
"Europe","iNEXT",3120.4406109742686,NA,3000.2510034265997,3240.6302185219374,"3386234",2516,61.32235515331362
"North America","iNEXT",6345.187024633358,NA,6217.889888867195,6472.484160399522,"2774542",5526,64.94871169586135
"Oceania","iNEXT",2385.0250647793778,NA,2302.525272216439,2467.5248573423164,"268604",2049,42.09250435910379
"South America","iNEXT",5344.561126054157,NA,5212.317224505092,5476.805027603223,"396590",4349,67.47261816655228
"Africa","iNEXT",6294.79820236187,NA,6133.2397102194145,6456.356694504325,"257028",4976,82.42931677153662
"Asia","iNEXT",8094.254702076308,NA,7888.828194510679,8299.681209641936,"199137",6184,104.81136856901793
"Europe","iNEXT",3073.195213897023,NA,2967.579391601414,3178.8110361926324,"3392274",2516,53.886613799382715
"North America","iNEXT",6323.918552841268,NA,6205.323302685285,6442.513802997251,"2773070",5526,60.50889255692831
"Oceania","iNEXT",2475.229425607601,NA,2386.095925425163,2564.3629257900393,"268568",2049,45.47711125587607
"South America","iNEXT",5283.246560708652,NA,5159.421032507406,5407.072088909898,"400433",4349,63.17745079907897
"Africa","iNEXT",6424.144812592619,NA,6257.106143044883,6591.183482140355,"254168",4976,85.22537703004552
"Asia","iNEXT",8333.909561743461,NA,8122.897796838854,8544.921326648067,"201312",6184,107.66104202375143
"Europe","iNEXT",3102.508917797727,NA,2978.876013946226,3226.141821649228,"3388045",2516,63.07917126370767
"North America","iNEXT",6387.48930362502,NA,6248.473818747904,6526.504788502135,"2773467",5526,70.92757110520999
"Oceania","iNEXT",2480.0227777562845,NA,2382.7932620779416,2577.2522934346275,"267304",2049,49.60780730935722
"South America","iNEXT",5462.198402748015,NA,5302.49647847861,5621.90032701742,"399322",4349,81.48207085901245
"Africa","iNEXT",6386.659592548558,NA,6209.889185811601,6563.429999285515,"250457",4976,90.1906403032399
"Asia","iNEXT",8225.942990656797,NA,8040.821119753946,8411.064861559647,"189326",6184,94.45166970570303
"Europe","iNEXT",3118.9530933380593,NA,3005.6165919672694,3232.289594708849,"3393288",2516,57.82580816013648
"North America","iNEXT",6316.900860713232,NA,6179.595513638756,6454.206207787708,"2771022",5526,70.05503578510796
"Oceania","iNEXT",2456.010251144599,NA,2356.729919892343,2555.290582396855,"268910",2049,50.654161012838316
"South America","iNEXT",5399.8257988323685,NA,5259.5793389517185,5540.0722587130185,"399169",4349,71.55563111715126
"Africa","iNEXT",6353.995502348929,NA,6208.159879404366,6499.831125293493,"257667",4976,74.40729732530615
"Asia","iNEXT",8285.05059532495,NA,8096.801724431328,8473.299466218574,"201780",6184,96.04710718079852
"Europe","iNEXT",3059.6130083800354,NA,2948.0911116508323,3171.1349051092384,"3390288",2516,56.899972453000956
"North America","iNEXT",6363.3267325263505,NA,6240.24681616741,6486.406648885291,"2769329",5526,62.7970296034925
"Oceania","iNEXT",2397.270436108364,NA,2310.417276214162,2484.1235960025656,"267280",2049,44.31365095445042
"South America","iNEXT",5421.436472209333,NA,5275.067116049441,5567.805828369225,"401873",4349,74.67961519417443
"Africa","iNEXT",6242.391117935191,NA,6073.317475037881,6411.4647608325,"255627",4976,86.2636478174808
