"name","observedRichness","continent","est","lower","upper","increasePercent","increase","statistic","Chao_increase","colourBar"
"Jamaica",53,"North America",86.1385,15.724500000000006,68.829,62.5254716981132,33.13849999999999,"iChao",33.13849999999999,-15
"Puerto Rico",71,"North America",91.121,10.248000000000005,42.394000000000005,28.339436619718317,20.12100000000001,"iChao",20.12100000000001,-15
"Solomon Islands",46,"Oceania",107.757,25.482,153.1725,134.25434782608696,61.757000000000005,"iChao",61.757000000000005,-15
"Burkina Faso",69,"Africa",89.0015,7.122,51.5445,28.987681159420276,20.001499999999993,"iChao",20.001499999999993,-15
"Dominican Republic",71,"North America",90.4085,9.338499999999996,40.593999999999994,27.335915492957753,19.408500000000004,"iChao",19.408500000000004,-15
"Greenland",61,"North America",96.5885,19.136499999999998,69.49349999999998,58.341803278688545,35.58850000000001,"iChao",35.58850000000001,-15
"Cambodia",70,"Asia",99.3985,15.174000000000007,55.5865,41.99785714285713,29.3985,"iChao",29.3985,-15
"Niger",59,"Africa",101.72,18.458,99.755,72.40677966101694,42.72,"iChao",42.72,-15
"CAR",89,"Africa",123.1705,20.880499999999998,55.569500000000005,38.39382022471911,34.170500000000004,"iChao",34.170500000000004,-15
"New Caledonia",88,"Oceania",117.5585,16.361000000000004,51.41399999999999,33.58920454545456,29.55850000000001,"iChao",29.55850000000001,-15
"Mali",61,"Africa",106.841,21.099000000000004,99.595,75.14918032786883,45.840999999999994,"iChao",45.840999999999994,-15
"Ireland",110,"Europe",126,3.725999999999999,54.631,14.54545454545455,16,"iChao",16,-15
"Yemen",91,"Asia",138.3425,29.426500000000004,75.56099999999998,52.02472527472528,47.3425,"iChao",47.3425,-15
"Malta",99,"Europe",139.603,25.256,66.97050000000002,41.01313131313131,40.60300000000001,"iChao",40.60300000000001,-15
"Togo",75,"Africa",143.705,34.102000000000004,138.422,91.60666666666668,68.70500000000001,"iChao",68.70500000000001,-15
"Sierra Leone",87,"Africa",151.3485,43.53199999999998,95.51050000000001,73.96379310344827,64.3485,"iChao",64.3485,-15
"Uruguay",87,"South America",157.7335,38.1015,127.529,81.3028735632184,70.73349999999999,"iChao",70.73349999999999,-15
"Somalia",75,"Africa",134.464,28.680000000000007,124.82249999999999,79.28533333333334,59.464,"iChao",59.464,-15
"Hong Kong",42,"Asia",62.964,4.892000000000003,89.846,49.91428571428571,20.964,"iChao",20.964,-15
"Ghana",101,"Africa",151.322,31.641999999999996,77.6515,49.823762376237624,50.322,"iChao",50.322,-15
"Cuba",111,"North America",139.5675,16.697500000000005,51.108000000000004,25.736486486486477,28.567499999999995,"iChao",28.567499999999995,-15
"UAE",106,"Asia",138.87599999999998,17.643500000000003,65.00599999999997,31.015094339622618,32.875999999999976,"iChao",32.875999999999976,-15
"Oman",111,"Asia",150.3855,25.137,60.781000000000006,35.48243243243243,39.38550000000001,"iChao",39.38550000000001,-15
"Lesotho",114,"Africa",141.991,15.677500000000009,50.355500000000006,24.55350877192981,27.990999999999985,"iChao",27.990999999999985,-15
"Singapore",119,"Asia",152.45499999999998,18.01400000000001,61.81049999999999,28.113445378151237,33.454999999999984,"iChao",33.454999999999984,-15
"Iraq",107,"Asia",169.4635,41.69,96.06200000000001,58.37710280373833,62.46350000000001,"iChao",62.46350000000001,-15
"Guernsey",112,"Europe",167.2125,33.751000000000005,90.03399999999999,49.29687499999999,55.212500000000006,"iChao",55.212500000000006,-15
"Saudi Arabia",122,"Asia",167.9935,29.298999999999978,76.0875,37.699590163934424,45.99350000000001,"iChao",45.99350000000001,-15
